source,description,goal,compute,data_handling,network,security_compliance,management_monitoring,cloud_service_essentials,ambiguity_type,ambuiguity,comments
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,The Bidder will be responsible for provisioning of required IT infrastructure as IaaS & PaaS for hosting NRC Applications,1,1,1,1,0,0,0,0,0,problem 2
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,The proposed landscape for the deployment of NRC applications are Staging and Production,0,0,0,0,0,0,0,0,0,
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,The above environments are to be deployed on the Virtual Private Cloud/Government Community Cloud,1,0,0,1,0,0,0,5,1,doubt
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,"The environment of Virtual Private Cloud/Government Community Cloud shall comply with the respective Provisional Empanelment Compliance Requirements published by Ministry of Electronics Information and Technology, Government of India",1,0,0,0,1,0,0,0,0,
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,"Each of the environments mentioned above should be logically isolated, i.e., separate from the production environment in a different VLAN than the production environment and setup such that users of the environments are in separate networks",1,0,0,1,0,0,0,0,0,
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,"The Bidder shall be responsible for provisioning required compute infrastructure (server/virtual machines), storage for hosting NRC applications",1,1,1,0,0,0,0,0,0,problem 2
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,"The bidder has to manage and maintain the VM’s including underlying Hardware, Operating systems, antivirus etc for the contract period",1,1,0,0,0,1,0,0,0,
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,"The indicative compute requirements for the IT infrastructure is placed at Annexure B, Form V Inbuilt AntiSpam/Malware/Antivirus threats control software.",0,0,0,0,0,0,0,0,0,
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,All the equipment’s/Devices in the path have to be in HA mode,1,0,0,1,0,0,1,4,1,
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,The Internet connectivity should be available to the applications as per the SLA requirements stated in Para,1,0,0,1,0,0,1,1,1,"""internet connectivity"""
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,Additional charges for Data Ingress or Egress will not be paid by NRC/ Department,0,0,0,0,0,0,0,0,0,
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,The database server storage has to be provided on high speed disks (SSD’s) for better performance,1,0,1,0,0,0,0,1,1,"""High Speed"""
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,The bidder has to provide adequate load balancers for High Availability of the Web applications in DC,1,1,0,1,0,0,0,1,1,"""Availability"""
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,"Manage the instances of storage, compute instances, and network environments",1,1,1,1,0,0,0,5,1,Sentence is missing a subject
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,This includes department-owned & installed operating systems and other system software that are outside of the authorization boundary of the CSP,0,0,0,0,0,0,0,5,1,Missing Context
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,"Service Provider is also responsible for managing specific controls relating to shared touch points within the security authorization boundary, such as establishing customized security control solutions",1,0,0,0,1,0,0,0,0,
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,"Examples include, but are not limited to, configuration and patch management, vulnerability scanning, disaster recovery, and protecting data in transit and at rest, host firewall management, managing credentials, identity and access management, and managing network configurations",1,0,0,0,1,1,1,0,0,
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,"Provide support to technical team of NRC / Department or nominated agency for Optimization of resources in cloud environment for better performance and also provide physical and virtual access to the technical persons for the resolution of any issue pertaining to the operation, maintenance or rectification to keep the application running without any problem, as authenticated by NRC / Department",1,0,0,0,0,1,0,1,1,"""Performance"""
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,The bidder should provide 24*7 Helpdesk & Technical support services,1,0,0,0,0,1,0,0,0,
https://nrcassam.nic.in/pdf/RFP%20for%20Selection%20of%20Cloud%20Service%20Provider.pdf,This will include system maintenance windows,0,0,0,0,0,0,0,5,1,
